0,3697
1,3700
2,3727
3,3700
4,3697
5,0
6,0
7,2
8,2
9,3699
10,3691
11,3696
12,3700
13,0
14,1
15,0
16,1
17,3698
18,3692
19,3696
20,3697
21,0
22,0
23,0
24,0
25,3697
26,3698
27,3697
28,3695
29,1
30,0
31,0
32,0
33,3700
34,3683
35,3698
36,3698
37,3697
38,2
39,21
40,0
41,0
42,3697
43,3710
44,3699
45,3720
46,1
47,0
48,1
49,0
50,3698
51,3693
52,3693
53,3695
54,6
55,5
56,0
57,3
58,3698
59,3700
60,3697
61,3701
62,3
63,0
64,0
65,0
66,3691
67,3698
68,3695
69,3699
70,3696
71,2
72,0
73,0
74,1
75,3697
76,3699
77,3691
78,3700
79,0
80,0
81,0
82,1
83,3699
84,3692
85,3699
86,3701
87,0
88,16
89,0
90,2
91,3696
92,3697
93,3694
94,3698
95,0
96,6
97,0
98,0
99,3704
100,3700
101,3697
102,3701
103,3700
104,1
105,0
106,0
107,0
108,3704
109,3700
110,3699
111,3695
112,0
113,0
114,0
115,0
116,3689
117,3693
118,3696
119,3700
120,1
121,0
122,0
123,0
124,3698
125,3710
126,3694
127,3702
128,0
129,3
130,0
131,0
132,3701
133,3694
134,3703
135,3697
136,3699
137,0
138,0
139,3
140,0
141,3693
142,3695
143,3694
144,3699
145,1
146,0
147,11
148,2
149,3689
150,3693
151,3697
152,3698
153,0
154,0
155,1
156,1
157,3702
158,3684
159,3697
160,3679
161,0
162,0
163,0
164,0
165,3698
166,3694
167,3695
168,3699
169,3721
170,0
171,0
172,0
173,0
174,3674
175,3699
176,3704
177,3700
178,0
179,1
180,0
181,2
182,3695
183,3695
184,3693
185,3700
186,2
187,10
188,2
189,0
190,3695
191,3695
192,3697
193,3695
194,1
195,0
196,0
197,5
198,3691
199,3696
200,3700
201,3699
202,3696
203,0
204,0
205,3
206,1
207,3694
208,3696
209,3677
210,3695
211,3
212,2
213,1
214,4
215,3691
216,3697
217,3694
218,3708
219,3
220,0
221,1
222,0
223,3695
224,3697
225,3698
226,3697
227,2
228,7
229,1
230,8
231,2
232,3694
233,3697
234,3696
235,3700
236,1
237,1
238,4
239,7
240,3691
241,3700
242,3694
243,3697
244,4
245,0
246,4
247,0
248,3699
249,3724
250,3697
251,3698
252,2
253,1
254,2
255,1
256,3716
257,3701
258,3700
259,3692
260,3
261,0
262,0
263,3
264,1
265,3700
266,3694
267,3697
268,3698
269,0
270,1
271,0
272,0
273,3693
274,3696
275,3695
276,3688
277,0
278,1
279,0
280,0
281,3696
282,3699
283,3701
284,3704
285,0
286,1
287,2
288,0
289,3699
290,3688
291,3699
292,3699
293,4
294,2
295,0
296,0
297,4
298,3699
299,3699
300,3691
301,3696
302,0
303,0
304,2
305,0
306,3695
307,3695
308,3700
309,3700
310,0
311,0
312,3
313,0
314,3696
315,3694
316,3693
317,3696
318,1
319,10
320,1
321,0
322,3701
323,3665
324,3700
325,3693
326,2
327,0
328,2
329,2
330,0
331,3696
332,3699
333,3685
334,3700
335,1
336,0
337,0
338,6
339,3695
340,3694
341,3699
342,3726
343,2
344,0
345,2
346,3
347,3696
348,3695
349,3696
350,3696
351,0
352,2
353,1
354,6
355,3696
356,3696
357,3699
358,3696
359,0
360,0
361,0
362,2
363,12
364,3689
365,3693
366,3688
367,3699
368,0
369,15
370,0
371,0
372,3702
373,3694
374,3695
375,3700
376,0
377,2
378,4
379,4
380,3699
381,3695
382,3697
383,3695
384,1
385,1
386,0
387,0
388,3695
389,3696
390,3700
391,3692
392,2
393,0
394,0
395,3
396,0
397,3697
398,3694
399,3699
400,3698
401,8
402,0
403,0
404,1
405,3696
406,3689
407,3694
408,3697
409,6
410,2
411,2
412,1
413,3698
414,3685
415,3690
416,3690
417,2
418,0
419,0
420,0
421,3704
422,3718
423,3709
424,3697
425,2
426,1
427,0
428,0
429,0
430,3698
431,3702
432,3695
433,3703
434,6
435,0
436,0
437,0
438,3695
439,3701
440,3697
441,3700
442,0
443,2
444,0
445,0
446,3697
447,3688
448,3699
449,3696
450,0
451,0
452,2
453,0
454,3693
455,3696
456,3696
457,3696
458,0
459,0
460,3
461,2
462,0
463,3695
464,3697
465,3696
466,3688
467,0
468,15
469,0
470,0
471,3697
472,3707
473,3702
474,3695
475,6
476,0
477,2
478,0
479,3692
480,3698
481,3694
482,3699
483,4
484,0
485,0
486,1
487,3696
488,3687
489,3695
490,3690
491,0
492,2
493,2
494,1
495,0
496,3693
497,3688
498,3700
499,3710
